external_id,name,city,district,subdistrict,lng,lat,nearby_metro_station,metro_distance_m,tags,address,is_demo
community-zhangjiang-tomson,张江汤臣豪园,上海,浦东,张江,121.5939,31.2049,张江高科,650,"[""张江"",""2号线"",""产业园通勤""]",上海市浦东新区晨晖路, true
community-yulan-xiangyuan,玉兰香苑,上海,浦东,张江,121.6078,31.2106,广兰路,780,"[""张江"",""2号线"",""生活配套""]",上海市浦东新区益江路, true
community-huizhi-jiayuan,汇智家园,上海,浦东,张江,121.6226,31.2102,金科路,980,"[""张江"",""科技园"",""通勤""]",上海市浦东新区祖冲之路, true
community-lujiazui-binjiang,陆家嘴滨江苑,上海,浦东,陆家嘴,121.5098,31.2389,商城路,900,"[""陆家嘴"",""滨江"",""核心区""]",上海市浦东新区浦明路, true
community-dahua-jinxiu,大华锦绣华城,上海,浦东,北蔡,121.5489,31.1872,锦绣路,850,"[""浦东"",""7号线"",""居住区""]",上海市浦东新区锦绣路, true
community-sanlin-shibo,三林世博家园,上海,浦东,三林,121.5056,31.1516,三林,760,"[""浦东"",""11号线"",""预算友好""]",上海市浦东新区三林路, true
community-guilin-yuan,桂林苑,上海,徐汇,漕河泾,121.4187,31.1748,漕河泾开发区,680,"[""漕河泾"",""9号线"",""办公通勤""]",上海市徐汇区桂林路, true
community-tianlin-shiercun,田林十二村,上海,徐汇,田林,121.4162,31.1849,桂林路,720,"[""徐汇"",""田林"",""生活便利""]",上海市徐汇区田林路, true
community-zhongyuan-liangwan,中远两湾城,上海,普陀,中潭路,121.4413,31.2534,中潭路,520,"[""内环"",""3号线"",""4号线""]",上海市普陀区远景路, true
community-gubei-central,古北中央花园,上海,长宁,古北,121.4076,31.1997,伊犁路,760,"[""长宁"",""古北"",""生活配套""]",上海市长宁区伊犁南路, true
community-jingan-jinghuayuan,静安晶华园,上海,静安,静安寺,121.4452,31.2315,静安寺,830,"[""静安"",""核心区"",""2号线""]",上海市静安区愚园路, true
community-qibao-vanke,七宝万科城市花园,上海,闵行,七宝,121.3566,31.1552,七宝,680,"[""闵行"",""9号线"",""生活配套""]",上海市闵行区七莘路, true
community-xinzhuang-qinchun,莘庄沁春园,上海,闵行,莘庄,121.3796,31.1119,莘庄,900,"[""闵行"",""1号线"",""预算友好""]",上海市闵行区莘西南路, true
community-kongjiang-fengcheng,凤城六村,上海,杨浦,控江路,121.5233,31.2821,黄兴路,720,"[""杨浦"",""8号线"",""成熟居住区""]",上海市杨浦区凤城路, true
